SIREN,SIRET,Nom société,Enseigne,Catégorie entreprise,Forme juridique,Date création,Code NAF,Libellé NAF,Tranche effectifs,Adresse,Code postal,Ville,Site web,Email générique,Téléphone standard,Nom dirigeant,Prénom dirigeant,Fonction dirigeant,Email dirigeant,Téléphone dirigeant,LinkedIn dirigeant,LinkedIn société,Spécialité Santé,Spécialité Prévoyance,Spécialité IARD,Spécialité Auto,Spécialité RC Pro,Spécialité Entreprises,Spécialité Collectives,Spécialité Particuliers,Nb collaborateurs estimé,Niveau digitalisation,ICP Score,Priorité,Potentiel,Statut prospection,Canal,Date premier contact,Dernier contact,Relance prévue,Démo réalisée,Proposition envoyée,Closing estimé,Notes
301806261,30180626100022,,,PME,1000,1900-01-01,66.22Z,66.22Y,NN,20 RUE JEAN DE LA FONTAINE,56130,LA ROCHE-BERNARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302819750,30281975000035,,,PME,1000,1983-06-15,66.22Z,66.22Y,NN,4 AVENUE DES SPORTS,35650,LE RHEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303302145,30330214500048,SOGEGRI,,PME,5499,1974-01-01,66.22Z,66.22Y,NN,24 RUE PEN AR VIR,29100,DOUARNENEZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305362162,30536216201506,ASSURANCES 2000,ASSU 2000,ETI,5710,1976-01-01,66.22Z,66.22Y,32,28 RUE DU PUITS MAUGER,35000,RENNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305362162,30536216202199,ASSURANCES 2000,ASSU 2000,ETI,5710,1976-01-01,66.22Z,66.22Y,32,4 PLACE EMILE SOUVESTRE,29600,MORLAIX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305362162,30536216202207,ASSURANCES 2000,ASSU 2000,ETI,5710,1976-01-01,66.22Z,66.22Y,32,2 RUE PREFET COLLIGNON,29000,QUIMPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305362162,30536216202223,ASSURANCES 2000,ASSU 2000,ETI,5710,1976-01-01,66.22Z,66.22Y,32,2 RUE DU COUEDIC DE KERGOUALER,56100,LORIENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305362162,30536216202363,ASSURANCES 2000,ASSU 2000,ETI,5710,1976-01-01,66.22Z,66.22Y,32,2 AVENUE DE LA LIBERATION,22000,SAINT-BRIEUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305362162,30536216204658,ASSURANCES 2000,ASSU200,ETI,5710,1976-01-01,66.22Z,66.22Y,32,172 RUE DE FOUGERES,35700,RENNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305362162,30536216204740,ASSURANCES 2000,ASSU2000,ETI,5710,1976-01-01,66.22Z,66.22Y,32,32 RUE THIERS,56000,VANNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
